Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Afghanistan,0.20332756899999999,228.1847839,2090.0,66.0,64.0,0.07,189.0,64.13,65.92913406,25.08389212,57.94876916857851,4.530555555555556
Albania,1.9488720380000002,645.4707642000001,12800.0,99.0,96.0,0.07,20.0,78.333,125.7103519,70.63694219,47.05228993,1.3
Algeria,3.505747662,970.2682494999999,11560.0,91.0,88.0,0.07,70.0,76.499,110.76724650000001,74.57496533,18.29457734,4.530555555555556
Angola,1.0343173,185.6510162,6860.0,56.0,42.0,1.33,359.0,60.379,44.68610714,72.09441406816394,57.94876916857851,4.530555555555556
Antigua and Barbuda,5.239717055,1274.503418,18780.0,95.0,99.0,0.9936923076923078,1.2,76.752,192.819567,72.09441406816394,57.94876916857851,4.530555555555556
Argentina,4.089471516000001,2184.919189,23000.0,86.0,89.0,0.24,27.0,76.372,140.8771235,72.09441406816394,57.94876916857851,0.9
Armenia,1.806581049,996.9830322,12540.0,94.0,96.0,0.16,36.0,74.797,118.4642306,85.42311993,64.61479069,0.9
Aruba,4.140249228967392,1449.1322523124295,36750.0,87.67213114754098,87.0327868852459,0.9936923076923078,8.7,76.01,107.72459359056994,72.09441406816394,57.94876916857851,4.530555555555556
Australia,15.738647400000001,4725.449707,47160.0,95.0,95.0,0.07,6.7,82.5,108.44178190000001,72.09441406816394,71.35875683,4.530555555555556
Austria,7.482751479,5674.062011999999,53660.0,90.0,96.0,0.9936923076923078,7.3,81.64390244,123.11929579999999,98.90619826,99.63759412,0.3
Azerbaijan,3.2443569039999995,655.4160767000001,13510.0,95.0,98.0,0.08,66.0,72.693,102.86105479999999,86.38904431,22.78796404,4.530555555555556
"Bahamas, The",5.6319728410000005,2128.264404,35250.0,94.0,90.0,0.54,15.0,73.554,92.60913413,72.09441406816394,57.94876916857851,4.530555555555556
Bahrain,20.33362404,2263.042969,45030.0,97.0,99.0,0.9936923076923078,12.0,77.032,158.2568089,98.98326213,88.80685521,4.530555555555556
Bangladesh,0.492906613,97.28712463,4340.0,98.0,97.0,0.9936923076923078,221.0,72.05199999999999,94.5264735,57.15407412,35.68556584,4.530555555555556
Barbados,4.192447306,1204.4160160000001,15080.0,90.0,92.0,0.9936923076923078,0.0,78.98100000000001,115.1391179,72.09441406816394,57.94876916857851,4.530555555555556
Belarus,5.921082,1095.046143,17580.0,97.0,97.0,0.36,37.0,74.12926829,120.7921902,94.53652766,74.58773863,0.0
Belgium,8.155491115,5289.400390999999,50900.0,98.0,96.0,0.9936923076923078,9.2,81.49268293,99.45303522,99.81466773,86.1781663,0.1
Belize,1.7297584990000001,482.94006349999995,6710.0,88.0,90.0,0.95,36.0,74.365,63.72026431,72.09441406816394,57.94876916857851,4.530555555555556
Benin,0.65860166,82.49481201,3010.0,76.0,70.0,0.39,58.0,61.174,78.50459562,72.09441406816394,57.94876916857851,4.530555555555556
Bermuda,4.140249228967392,1449.1322523124295,85190.0,87.67213114754098,87.0327868852459,0.9936923076923078,3.6,81.44195122,103.0896604,72.09441406816394,57.94876916857851,4.530555555555556
Bhutan,1.783886808,314.5932617,10170.0,98.0,97.0,0.17,145.0,71.12899999999999,97.99614519,36.1630326,63.47546086,1.5
Bolivia,1.987875656,485.47204589999996,8170.0,84.0,83.0,0.17,111.0,70.945,97.94841441,72.09441406816394,48.48564858,6.5
Bosnia and Herzegovina,6.758099426,1226.752319,13640.0,75.0,69.0,0.9936923076923078,29.0,77.128,102.64237920000001,88.84189492,38.64421651,4.530555555555556
Botswana,3.5690379830000003,1091.0469970000001,15900.0,95.0,97.0,8.98,300.0,68.812,146.96015559999998,72.09441406816394,57.94876916857851,4.530555555555556
Brazil,2.164421504,1482.533325,14250.0,89.0,91.0,0.9936923076923078,44.0,75.456,106.4644877,83.52582053,45.85641823,4.4
Brunei Darussalam,15.80753909,1811.4364010000002,64620.0,99.0,97.0,0.9936923076923078,64.0,75.585,128.3313662,72.09441406816394,57.94876916857851,4.530555555555556
Bulgaria,6.223901903,1575.110229,20870.0,92.0,94.0,0.9936923076923078,25.0,74.81463415,120.14044740000001,97.39650613,66.79304934,1.4
Burkina Faso,0.212053871,129.01049809999998,1970.0,91.0,88.0,0.11,49.0,60.768,93.50365342,72.09441406816394,57.94876916857851,4.530555555555556
Burundi,0.052646114,59.39506149,770.0,91.0,90.0,0.24,114.0,60.898,54.68367609,72.09441406816394,57.94876916857851,4.530555555555556
Cabo Verde,1.097676461,375.52709960000004,6410.0,96.0,96.0,0.9936923076923078,58.0,72.57,113.909075,72.09441406816394,57.94876916857851,4.530555555555556
Cambodia,0.7102071759999999,238.10375980000003,3680.0,93.0,84.0,0.13,329.0,69.289,116.0128584,26.00063412,57.94876916857851,4.530555555555556
Cameroon,0.338678511,127.29545590000001,3490.0,74.0,65.0,1.33,194.0,58.511,81.96421137,72.09441406816394,57.94876916857851,4.530555555555556
Canada,15.38529105,5023.351074,47700.0,91.0,90.0,0.9936923076923078,5.6,81.9,86.28149306,98.92850562,83.5785755,0.2
Central African Republic,0.067449619,54.73753357,960.0,47.0,49.0,0.9936923076923078,540.0,52.24,25.57404521,6.487937575,14.63759225,4.530555555555556
Chad,0.067924102,85.68202972,1570.0,41.0,37.0,0.47,143.0,53.711999999999996,42.40996705,5.568481244,9.625769072,4.530555555555556
Channel Islands,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,109.91783505154638,82.766,107.72459359056994,91.975,81.5,4.530555555555556
Chile,4.712395783,2193.382568,23460.0,93.0,93.0,0.46,17.0,79.90899999999999,124.5944777,98.77024025,74.37180759,0.3
China,7.225768991,837.7727051,14330.0,99.0,99.0,0.9936923076923078,62.0,76.47,103.4384208,72.09441406816394,60.09072637,4.530555555555556
Colombia,1.5551061659999998,1114.096191,13910.0,92.0,93.0,0.32,33.0,76.925,127.2136962,72.74865169,17.86728223,4.0
Comoros,0.307166816,131.1263428,3050.0,91.0,90.0,0.02,35.0,63.912,57.613786600000005,72.09441406816394,57.94876916857851,4.530555555555556
"Congo, Dem. Rep.",0.028010253,36.94486618,1030.0,57.0,57.0,0.38,322.0,60.026,43.45919307,17.3445372,14.09448759,4.530555555555556
"Congo, Rep.",0.630050555,169.05439760000002,3650.0,69.0,70.0,2.86,376.0,63.95399999999999,98.92979331,45.35481313,57.94876916857851,4.530555555555556
