Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2090,2100,2190,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.13,64.486,64.833,..
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,66,66,66,..
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64,64,64,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.20332756862023,0.200151071015376,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,65.92913406,59.12084823,59.3560197,58.25581184
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,228.18478394,186.4072876,..,..
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,25.08389212,25.94051208,26.79895584,27.58895624
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
Afghanistan,AFG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..
Afghanistan,AFG,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.07,0.07,0.08,0.08
Afghanistan,AFG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,189,189,189,..
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,9.2,..
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,1.3,..,..,..
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12800,13530,14040,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.333,78.458,78.573,..
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99,99,99,..
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,94,95,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.94887203810602,1.93973156347946,..,..
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,125.7103519,94.17699827,91.29301538,91.00294427
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,645.47076416,697.30487061,..,..
Albania,ALB,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,70.63694219,70.65335019,70.66585365,70.67453739
Albania,ALB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,47.05228993,47.39384501,47.57714147,47.69108212
Albania,ALB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,29.2,..,..
